NAME,POPESTIMATE2021,DEATHS2021
AL,5039877,64868
AK,732673,5641
AZ,7276316,75665
AR,3025891,38257
CA,39237836,332337
CO,5812069,47988
CT,3605597,37646
DE,1003384,11655
FL,21781128,255553
GA,10799566,105276
HI,1441553,14648
ID,1900923,16918
IL,12671469,130319
IN,6805985,76906
IA,3193079,35538
KS,2934582,31407
KY,4509394,56853
LA,4624047,55335
ME,1372247,17635
MD,6165129,61654
MA,6984723,70431
MI,10050811,117336
MN,5707390,53578
MS,2949965,38194
MO,6168187,73333
MT,1104271,12022
NE,1963692,19213
NV,3143991,31808
NH,1388992,15158
NJ,9267130,90557
NM,2115877,23082
NY,19835913,192137
NC,10551162,115709
ND,774948,7588
OH,11780017,144406
OK,3986639,48995
OR,4246155,44592
PA,12964056,159229
RI,1095610,11967
SC,5190705,62520
SD,895376,9175
TN,6975218,84944
TX,29527941,248605
UT,3337975,22167
VT,645570,6884
VA,8642274,84697
WA,7738692,70836
WV,1782959,27102
WI,5895908,62985
WY,578803,6042
