State,avg_hesitant,percent_population_dead_post_vax
MT,25.1385714667184,0.0034
WY,21.77608697310738,0.0045
AK,21.738620889597925,0.0063
AR,21.212266998291014,0.0013
KY,19.584916464487712,0.0022
OK,19.404545499132826,0.0012
ID,19.202272631905295,0.0014
LA,18.971874862909317,0.0011
MS,18.253170571676115,0.0011
AL,17.350746225954882,0.0014
GA,16.181509293850112,0.0012
AZ,15.923999786376953,0.0016
WI,15.294444481531778,0.0024
KS,15.164761924743653,0.0017
MO,15.022782508186673,0.0018
OH,14.565681858496232,0.0026
FL,14.521194045223407,0.0017
SC,14.328695711882219,0.0011
TN,13.838841980382016,0.0081
ND,13.6520754436277,0.0155
NC,13.591300010681152,0.0014
NV,13.242352653952207,0.0038
IN,13.146521692690643,0.0007
IA,12.626464689620818,0.0030
TX,11.981102357699177,0.0012
PA,11.885671672536366,0.0019
UT,11.724482667857203,0.0015
OR,11.268888844384087,0.0014
SD,11.257424267855557,0.0104
NH,10.353999805450439,0.0024
WV,10.145272844487971,0.0029
MI,9.963132542299936,0.0013
IL,9.608529455521527,0.0016
ME,9.565624952316284,0.0023
NE,8.678817067095029,0.0017
NM,7.822424339525627,0.0009
CO,7.82203122228384,0.0010
WA,7.791281993572529,0.0022
MN,7.788620751479576,0.0011
MD,7.601666669050853,0.0011
CA,7.2274137694260165,0.0011
NY,7.178548420629194,0.0041
RI,6.6420001029968265,0.0047
VA,6.311052664778287,0.0050
HI,5.95,0.0014
DE,5.9433333079020185,0.0022
CT,5.698749899864197,0.0034
NJ,4.9695238045283725,0.0034
MA,4.62785712310246,0.0038
VT,4.0264285291944235,0.0034
