state,max_vax_rate,covid_hospitalizations,icu_utilization
TX,77,228.8275,287.63316582914575
IA,70.9000015258789,49.5829,69.43718592964824
NV,78.30000305175781,5.9581,52.6465661641541
FL,82.9000015258789,187.5779,46.22948073701843
PR,95,13.7035,45.381909547738694
OH,65.9000015258789,153.2630,37.1892797319933
CA,86.30000305175781,222.0369,34.564489112227804
TN,64.5999984741211,86.6918,33.29313232830821
IL,79.19999694824219,160.2596,25.13065326633166
GA,68.5999984741211,106.5578,24.68006700167504
MO,69.5999984741211,84.4322,23.515912897822446
MN,79.0999984741211,69.6901,22.5678391959799
WI,75.30000305175781,102.8677,21.633165829145728
AL,65.0999984741211,48.0955,18.54103852596315
CO,84,67.8777,18.268006700167504
VA,91.30000305175781,69.5729,16.76214405360134
NC,92.5999984741211,108.9414,15.197654941373534
IN,64.5999984741211,134.9832,13.018425460636516
NY,94.69999694824219,176.9330,12.056951423785595
ME,95,24.6717,10.65996649916248
AZ,78.4000015258789,78.3635,9.760469011725293
OK,74.9000015258789,84.6415,9.368509212730318
NJ,94.9000015258789,71.1072,9.242881072026801
NH,95,17.7739,7.9045226130653266
MD,92.0999984741211,45.9615,6.777219430485762
OR,82,51.0385,6.5711892797319935
UT,75.5,48.7069,6.564489112227806
LA,62.900001525878906,118.3350,6.4958123953098825
KS,76.5,121.1675,6.266331658291457
PA,91.0999984741211,160.8576,6.190954773869347
WA,85.5999984741211,83.3082,5.961474036850921
ID,64.0999984741211,36.3116,5.688442211055277
SD,84.30000305175781,56.5829,5.135678391959799
CT,95,25.4975,4.758793969849246
SC,71.19999694824219,54.8727,4.149078726968174
MI,69.9000015258789,138.9079,4.093802345058626
WV,89.69999694824219,29.7404,4.02177554438861
KY,69.0999984741211,63.1089,3.976549413735343
WY,61.099998474121094,16.7320,3.046901172529313
MS,61.79999923706055,92.2613,2.8056951423785597
HI,91.80000305175781,19.5226,2.5711892797319935
MT,68.4000015258789,56.1524,2.288107202680067
AR,70.0999984741211,85.3434,2.1658291457286434
ND,69.5999984741211,27.6851,1.9698492462311559
RI,95,5.8007,1.8157453936348409
DC,95,8.6985,1.7035175879396984
NE,73.69999694824219,77.3266,1.6281407035175879
DE,88.5,11.0184,1.4991624790619766
NM,94.9000015258789,29.2613,1.1423785594639866
MA,95,54.9816,1.120603015075377
AK,73.19999694824219,20.0268,1.0251256281407035
VT,95,10.8224,1.0083752093802345
VI,71,0.7441,0
AS,95,0.9302,0
