state,max_vax_rate,covid_hospitalizations
TX,77,228.8275
CA,86.30000305175781,222.0369
FL,82.9000015258789,187.5779
NY,94.69999694824219,176.9330
PA,91.0999984741211,160.8576
IL,79.19999694824219,160.2596
OH,65.9000015258789,153.2630
MI,69.9000015258789,138.9079
IN,64.5999984741211,134.9832
KS,76.5,121.1675
LA,62.900001525878906,118.3350
NC,92.5999984741211,108.9414
GA,68.5999984741211,106.5578
WI,75.30000305175781,102.8677
MS,61.79999923706055,92.2613
TN,64.5999984741211,86.6918
AR,70.0999984741211,85.3434
OK,74.9000015258789,84.6415
MO,69.5999984741211,84.4322
WA,85.5999984741211,83.3082
AZ,78.4000015258789,78.3635
NE,73.69999694824219,77.3266
NJ,94.9000015258789,71.1072
MN,79.0999984741211,69.6901
VA,91.30000305175781,69.5729
CO,84,67.8777
KY,69.0999984741211,63.1089
SD,84.30000305175781,56.5829
MT,68.4000015258789,56.1524
MA,95,54.9816
SC,71.19999694824219,54.8727
OR,82,51.0385
IA,70.9000015258789,49.5829
UT,75.5,48.7069
AL,65.0999984741211,48.0955
MD,92.0999984741211,45.9615
ID,64.0999984741211,36.3116
WV,89.69999694824219,29.7404
NM,94.9000015258789,29.2613
ND,69.5999984741211,27.6851
CT,95,25.4975
ME,95,24.6717
AK,73.19999694824219,20.0268
HI,91.80000305175781,19.5226
NH,95,17.7739
WY,61.099998474121094,16.7320
PR,95,13.7035
DE,88.5,11.0184
VT,95,10.8224
DC,95,8.6985
NV,78.30000305175781,5.9581
RI,95,5.8007
AS,95,0.9302
VI,71,0.7441
